State,Date,Value,Anomaly
Texas,202104,65.7,1.1
Texas,202204,66.4,1.8
Utah,201504,51.2,3.7
Utah,201604,49.7,2.2
Utah,201704,50.5,3
Utah,201804,50.7,3.2
Utah,201904,49.4,1.9
Utah,202004,48.5,1
Utah,202104,50.2,2.7
Utah,202204,50.6,3.1
Vermont,201504,41,-0.3
Vermont,201604,45.7,4.4
Vermont,201704,44.9,3.6
Vermont,201804,42.7,1.4
Vermont,201904,42.8,1.5
Vermont,202004,43.3,2
Vermont,202104,44.4,3.1
Vermont,202204,44.3,3
Virginia,201504,54.5,-0.3
Virginia,201604,57.8,3
Virginia,201704,58.3,3.5
Virginia,201804,55.5,0.7
Virginia,201904,57.4,2.6
Virginia,202004,58.1,3.3
Virginia,202104,56.5,1.7
Virginia,202204,57.1,2.3
Washington,201504,49.8,3.7
Washington,201604,49.9,3.8
Washington,201704,46.4,0.3
Washington,201804,47.9,1.8
Washington,201904,47.2,1.1
Washington,202004,47.5,1.4
Washington,202104,47.9,1.8
Washington,202204,47.8,1.7
West Virginia,201504,50.8,-0.8
West Virginia,201604,54.7,3.1
West Virginia,201704,55.4,3.8
West Virginia,201804,51.9,0.3
West Virginia,201904,54.2,2.6
West Virginia,202004,54.7,3.1
West Virginia,202104,53,1.4
West Virginia,202204,53.3,1.7
Wisconsin,201504,42.2,-0.2
Wisconsin,201604,46.5,4.1
Wisconsin,201704,46.6,4.2
Wisconsin,201804,42.3,-0.1
Wisconsin,201904,43.2,0.8
Wisconsin,202004,43.9,1.5
Wisconsin,202104,44.6,2.2
Wisconsin,202204,44.1,1.7
Wyoming,201504,43.6,2.8
Wyoming,201604,43.8,3
Wyoming,201704,43.4,2.6
Wyoming,201804,42.6,1.8
Wyoming,201904,41.6,0.8
Wyoming,202004,40.9,0.1
Wyoming,202104,42.4,1.6
Wyoming,202204,43.7,2.9
